"Studio_Units","One_Bedroom_Units","Two_Bedroom_Units","Three_Bedroom_Units","Four_Bedroom_Units","Five_Bedroom_Units","Six_Bedroom_Units","Total_Units","Start Year","Latitude","Longitude"
4,0,0,0,0,0,0,12,2022,40.853101,-73.885
0,3,3,0,0,0,0,17,2022,40.637282,-73.945201
0,2,4,0,0,0,0,6,2022,40.73902,-73.856621
2,10,3,0,0,0,0,49,2022,40.698575,-73.920653
1,2,0,0,0,0,0,7,2022,40.661208,-73.867753
3,0,1,0,0,0,0,12,2022,40.862167,-73.869421
85,17,46,25,0,0,0,174,2022,40.66012,-73.908285
93,24,1,0,0,0,0,118,2022,40.85037,-73.917222
122,31,1,0,0,0,0,154,2022,40.822911,-73.857365
0,6,1,0,0,0,0,23,2022,40.76715,-73.929982
3,12,3,0,0,0,0,59,2022,40.717877,-73.982724
1,1,1,0,0,0,0,9,2022,40.6963,-73.975084
0,0,14,5,0,0,0,19,2022,40.81842,-73.953141
0,1,16,8,0,0,0,25,2022,40.818868,-73.954214
0,1,16,8,0,0,0,25,2022,40.818895,-73.954272
0,2,1,0,0,0,0,9,2022,40.765951,-73.922139
2,3,0,0,0,0,0,15,2022,40.885377,-73.865191
1,4,0,1,0,0,0,7,2022,40.674545,-73.907021
9,45,90,36,9,0,0,189,2022,40.788758,-73.970503
8,2,1,0,0,0,0,11,2022,40.755051,-73.992417
1,2,3,0,0,0,0,36,2022,40.635571,-73.94985
0,40,40,16,24,0,0,120,2022,40.700235,-73.949394
1,2,3,0,0,0,0,19,2022,40.667265,-73.992845
0,3,0,0,0,0,0,7,2022,40.674829,-73.880989
0,0,3,0,0,0,0,10,2022,40.676382,-73.883088
13,25,10,3,0,0,0,164,2022,40.788487,-73.943618
0,3,3,0,0,0,0,18,2022,40.691331,-73.915584
10,6,0,0,0,0,0,17,2022,40.835793,-73.909553
6,13,5,0,0,0,0,123,2022,40.714068,-73.95461
0,1,2,0,0,0,0,10,2022,40.764283,-73.9233
0,7,0,0,0,0,0,21,2022,40.837427,-73.926818
2,1,1,0,0,0,0,11,2022,40.859451,-73.90476
1,1,3,0,0,0,0,16,2022,40.85475,-73.82905
0,5,4,0,0,0,0,10,2022,40.676137,-73.906936
2,6,2,0,0,0,0,33,2022,40.842761,-73.884339
0,3,3,0,0,0,0,17,2022,40.888619,-73.852551
0,0,1,0,0,0,0,1,2022,40.677051,-73.812475
0,0,0,0,1,0,0,1,2022,40.680889,-73.811415
0,0,0,1,0,0,0,1,2022,40.66879,-73.802653
0,0,0,0,0,1,0,1,2022,40.710561,-73.743468
0,0,0,1,0,0,0,1,2022,40.67875,-73.799426
0,0,0,0,1,0,0,1,2022,40.695543,-73.754406
0,0,0,0,1,0,0,1,2022,40.678762,-73.798034
0,0,0,2,0,0,0,2,2022,40.709884,-73.743871
0,0,0,2,0,0,0,2,2022,40.709992,-73.765102
0,0,0,2,0,0,0,2,2022,40.698553,-73.743792
0,0,0,1,0,0,0,1,2022,40.710701,-73.757553
0,0,1,0,0,0,0,1,2022,40.706547,-73.743033
0,0,0,0,1,0,0,1,2022,40.696469,-73.750883
0,3,3,0,0,0,0,17,2022,40.816771,-73.94721
0,1,2,0,0,0,0,8,2022,40.694072,-73.922245
0,3,0,0,0,0,0,10,2022,40.662203,-73.918584
3,27,0,0,0,0,0,70,2022,40.873036,-73.874867
4,2,0,0,0,0,0,10,2022,40.676439,-73.882806
1,2,0,0,0,0,0,10,2022,40.878479,-73.862565
0,2,0,0,0,0,0,8,2022,40.704536,-73.942001
7,1,0,0,0,0,0,57,2022,40.69544,-73.932524
6,6,2,0,0,0,0,46,2022,40.680016,-73.953235
0,2,1,0,0,0,0,9,2022,40.690763,-73.916309
0,2,17,0,0,0,0,61,2022,40.606017,-73.986866
0,12,13,0,0,0,0,81,2022,40.697561,-73.936305
0,7,7,0,0,0,0,44,2022,40.751099,-73.872154
3,3,0,0,0,0,0,20,2022,40.827847,-73.943837
0,1,2,0,0,0,0,8,2022,40.688706,-73.922345
0,17,9,0,0,0,0,30,2022,40.879228,-73.862607
3,9,6,0,0,0,0,69,2022,40.679566,-73.960979
8,19,6,0,0,0,0,110,2022,40.837002,-73.922312
0,6,15,10,0,0,0,101,2022,40.831986,-73.928483
0,2,2,0,0,0,0,6,2022,40.641521,-73.987792
30,0,0,0,0,0,0,30,2022,40.757694,-73.864417
0,2,0,0,0,0,0,6,2022,40.64796,-73.953416
28,80,149,54,0,0,0,311,2022,40.854923,-73.881234
155,116,31,0,0,0,0,302,2022,40.853773,-73.881558
5,15,9,0,0,0,0,95,2022,40.653739,-73.956659
0,3,3,0,0,0,0,17,2022,40.638906,-73.950204
2,1,2,0,0,0,0,15,2022,40.672641,-73.95213
0,63,89,9,0,0,0,161,2021,40.801226,-73.950278
38,130,146,76,6,0,0,396,2021,40.76856,-73.991307
0,22,6,1,1,0,0,30,2021,40.837993,-73.895272
0,1,11,9,0,0,0,21,2021,40.837993,-73.895272
0,0,9,9,4,0,0,22,2021,40.837993,-73.895272
0,7,13,0,0,0,0,20,2021,40.837993,-73.895272
0,4,1,10,1,0,0,16,2021,40.837993,-73.895272
0,5,20,5,0,0,0,30,2021,40.837993,-73.895272
0,8,0,0,0,0,0,8,2021,40.842627,-73.893092
0,4,8,6,1,0,0,19,2021,40.840023,-73.888597
0,10,26,5,3,0,0,44,2021,40.842579,-73.88877
0,1,4,4,0,0,0,9,2021,40.840157,-73.887849
0,8,4,0,0,0,0,12,2021,40.675991,-73.938784
0,5,11,0,0,0,0,16,2021,40.67176,-73.914441
0,5,12,3,0,0,0,20,2021,40.668111,-73.951538
9,44,63,13,0,0,0,129,2021,40.606351,-73.751795
5,20,25,5,0,0,0,55,2021,40.606348,-73.751799
12,23,9,0,0,0,0,223,2021,40.706356,-73.803642
4,58,134,17,0,0,0,213,2021,40.822347,-73.879612
33,16,41,54,0,0,0,144,2021,40.822382,-73.879641
2,2,4,0,0,0,0,25,2021,40.843191,-73.888393
3,10,5,0,0,0,0,59,2021,40.831084,-73.89147
0,0,0,3,0,0,0,8,2021,40.670644,-73.893574
4,0,0,0,0,0,0,11,2021,40.844082,-73.882059
5,32,6,2,0,0,0,441,2021,40.685511,-73.978525
0,30,27,30,10,0,0,97,2021,40.82097,-73.892412
4,53,74,137,11,0,0,279,2021,40.842107,-73.878478
0,10,11,0,0,0,0,21,2021,40.818736,-73.941995
1,11,8,11,0,0,0,31,2021,40.826069,-73.939785
0,20,28,7,0,0,0,55,2021,40.674921,-73.944874
39,29,114,2,0,0,0,184,2021,40.668282,-73.900704
0,12,0,0,0,0,0,39,2021,40.692286,-73.943493
1,7,0,0,0,0,0,25,2021,40.843444,-73.88887
0,2,0,0,0,0,0,6,2021,40.754232,-73.935821
0,5,0,0,0,0,0,14,2021,40.74409,-73.897985
80,78,19,0,0,0,0,590,2021,40.758015,-73.999419
6,5,3,0,0,0,0,44,2021,40.849729,-73.904695
5,0,0,0,0,0,0,15,2021,40.653946,-73.953473
2,1,2,0,0,0,0,14,2021,40.853095,-73.89874
0,3,2,0,0,0,0,16,2021,40.659966,-73.94763
0,43,0,0,0,0,0,44,2021,40.852845,-73.901947
0,8,0,0,0,0,0,9,2021,40.643743,-73.951736
7,0,0,0,0,0,0,22,2021,40.653377,-73.949837
0,0,3,0,0,0,0,10,2021,40.738592,-73.863658
0,1,2,0,0,0,0,10,2021,40.697406,-73.93483
0,1,2,0,0,0,0,8,2021,40.839453,-73.863846
1,2,0,0,0,0,0,8,2021,40.649504,-73.949425
45,87,55,7,0,0,0,194,2021,40.595196,-73.782775
35,14,17,2,0,0,0,171,2021,40.794981,-73.972584
2,11,3,0,0,0,0,80,2021,40.726418,-73.95734
9,58,12,0,0,0,0,79,2021,40.646479,-74.083271
20,42,16,0,0,0,0,78,2021,40.645161,-74.083968
5,67,8,0,0,0,0,80,2021,40.645345,-74.08447
9,58,12,0,0,0,0,79,2021,40.646539,-74.083509
59,122,55,33,0,0,0,270,2021,40.630517,-74.076637
0,0,3,0,0,0,0,9,2021,40.659356,-73.951447
2,4,6,0,0,0,0,37,2021,40.843242,-73.882155
0,0,2,0,0,0,0,6,2021,40.635094,-73.909508
0,4,0,0,0,0,0,13,2021,40.700687,-73.914577
0,1,2,0,0,0,0,10,2021,40.662809,-73.904107
2,2,2,0,0,0,0,17,2021,40.637306,-73.957541
4,7,2,0,0,0,0,43,2021,40.85283,-73.907025
3,0,0,0,0,0,0,10,2021,40.676698,-73.932395
4,2,0,0,0,0,0,20,2021,40.865979,-73.887964
2,14,2,0,0,0,0,54,2021,40.862793,-73.907062
0,3,0,0,0,0,0,9,2021,40.661186,-73.944731
4,8,4,2,0,0,0,60,2021,40.632514,-73.966829
0,0,1,2,0,0,0,9,2021,40.677309,-73.906823
0,3,0,0,0,0,0,8,2021,40.849398,-73.890168
0,2,4,4,0,0,0,10,2021,40.67069,-73.932787
0,3,0,0,0,0,0,7,2021,40.855867,-73.889716
0,3,0,0,0,0,0,7,2021,40.8559,-73.889684
68,0,0,0,0,0,0,68,2021,40.824116,-73.898856
2,7,9,0,0,0,0,88,2021,40.836145,-73.88323
56,8,7,0,0,0,0,71,2021,40.668155,-73.899742
0,8,3,0,0,0,0,50,2021,40.701149,-73.937651
0,3,0,0,0,0,0,9,2021,40.870966,-73.899403
0,3,0,0,0,0,0,9,2021,40.870917,-73.899421
3,11,1,0,0,0,0,49,2021,40.746717,-73.941018
5,4,1,0,0,0,0,11,2021,40.828105,-73.896527
